City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jalu,LY,2022-08-31 02:00:48,29.0331,21.5482,80.6,42,0,6.73
1,Albany,US,2022-08-31 02:00:48,42.6001,-73.9662,69.62,91,100,8.37
2,Saint-Philippe,RE,2022-08-31 02:00:49,-21.3585,55.7679,71.19,80,73,10.4
3,Bluff,NZ,2022-08-31 02:00:49,-46.6,168.3333,62.8,59,78,13.02
4,Hermanus,ZA,2022-08-31 02:00:50,-34.4187,19.2345,52.81,76,0,23.11
5,Mareeba,AU,2022-08-31 02:00:50,-17.0,145.4333,81.45,58,2,9.08
6,Jamestown,US,2022-08-31 02:00:51,42.097,-79.2353,69.71,66,46,8.01
7,Lebu,CL,2022-08-31 02:00:51,-37.6167,-73.65,50.11,92,100,4.12
8,Kaitangata,NZ,2022-08-31 02:00:51,-46.2817,169.8464,58.68,52,15,5.3
9,Souillac,MU,2022-08-31 02:00:52,-20.5167,57.5167,64.78,94,40,3.44
10,Mataura,NZ,2022-08-31 02:00:52,-46.1927,168.8643,62.47,47,80,6.11
11,Noumea,NC,2022-08-31 01:56:15,-22.2763,166.4572,72.0,99,65,17.22
12,Kapaa,US,2022-08-31 02:00:53,22.0752,-159.319,83.48,70,10,5.01
13,Sergeyevka,KZ,2022-08-31 02:01:04,53.88,67.4158,65.77,56,99,6.26
14,Ahipara,NZ,2022-08-31 02:01:05,-35.1667,173.1667,60.76,51,70,3.53
15,Ponta Do Sol,PT,2022-08-31 02:01:05,32.6667,-17.1,70.72,76,13,6.67
16,Poum,NC,2022-08-31 02:01:05,-20.2333,164.0167,74.95,62,36,12.57
17,Bograd,RU,2022-08-31 02:01:05,54.2344,90.8328,64.99,55,57,4.74
18,Cerritos,US,2022-08-31 01:57:48,33.8583,-118.0648,96.64,49,0,4.0
19,Barrow,US,2022-08-31 01:59:20,71.2906,-156.7887,44.98,71,50,13.09
20,Arraial Do Cabo,BR,2022-08-31 02:01:06,-22.9661,-42.0278,63.84,64,96,10.22
21,Lavrentiya,RU,2022-08-31 02:01:06,65.5833,-171.0,44.65,98,100,10.4
22,Ribeira Grande,PT,2022-08-31 02:01:07,38.5167,-28.7,74.41,83,77,7.05
23,Birao,CF,2022-08-31 02:01:07,10.2849,22.7882,69.62,98,98,3.85
24,Busselton,AU,2022-08-31 02:01:07,-33.65,115.3333,58.35,60,19,7.76
25,Castro,BR,2022-08-31 02:01:08,-24.7911,-50.0119,43.57,93,3,9.66
26,Bengkulu,ID,2022-08-31 01:58:23,-3.8004,102.2655,80.15,78,65,0.34
27,Nishihara,JP,2022-08-31 02:01:08,26.1842,127.7558,88.88,74,75,28.77
28,Ushuaia,AR,2022-08-31 01:57:48,-54.8,-68.3,35.26,87,20,4.61
29,Ballina,AU,2022-08-31 02:00:04,-28.8667,153.5667,68.02,85,70,14.14
30,Reyes,BO,2022-08-31 02:01:09,-14.3167,-67.3833,71.17,47,0,1.54
31,Chokurdakh,RU,2022-08-31 02:01:09,70.6333,147.9167,47.43,47,59,7.0
32,Faanui,PF,2022-08-31 02:01:09,-16.4833,-151.75,78.24,69,0,15.01
33,Butaritari,KI,2022-08-31 02:01:10,3.0707,172.7902,82.08,72,27,18.9
34,Mayskiy,RU,2022-08-31 02:01:10,47.6931,40.1025,63.81,31,85,4.56
35,Clyde River,CA,2022-08-31 02:01:11,70.4692,-68.5914,37.38,73,0,3.76
36,Nikolskoye,RU,2022-08-31 02:01:11,59.7035,30.7861,53.49,93,100,13.87
37,Pevek,RU,2022-08-31 02:01:11,69.7008,170.3133,33.82,87,55,19.01
38,Thompson,CA,2022-08-31 01:58:50,55.7435,-97.8558,50.16,62,20,6.91
39,Hot Springs,US,2022-08-31 01:58:07,34.5037,-93.0552,83.62,81,75,6.91
40,Shingu,JP,2022-08-31 02:01:12,33.7333,135.9833,85.06,74,20,5.84
41,Hithadhoo,MV,2022-08-31 02:01:12,-0.6,73.0833,81.25,76,60,15.93
42,Salekhard,RU,2022-08-31 02:01:12,66.53,66.6019,43.03,78,14,7.43
43,Dikson,RU,2022-08-31 02:01:13,73.5069,80.5464,40.84,94,100,12.64
44,Cabo San Lucas,MX,2022-08-31 02:00:06,22.8909,-109.9124,86.61,68,100,6.22
45,Banjar,ID,2022-08-31 02:01:13,-8.19,114.9675,86.61,64,23,0.6
46,Avera,US,2022-08-31 02:01:14,33.194,-82.5271,78.85,70,48,5.59
47,Tasiilaq,GL,2022-08-31 02:01:14,65.6145,-37.6368,42.96,97,100,10.96
